MillÇsime,Code rÇgion,Code EPCI,NOM EPCI,Code INSEE,Nom Commune,Code IRIS,IRIS,Numero,Lettre,Rue,Code CatÇgorie,Secteur d'activitÇ,Code_N1,LibellÇ_N1,Code_N2,LibellÇ_N2,Nombre de PDL,DonnÇes de consommation (MWh),donnÇes corrigÇes du climat,EPCI/EPT,LibellÇ de l'EPCI/EPT,Nature d'EPCI
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751155702,Saint-Lambert 2,25,,RUE GEORGES PITARD,ENT,Tertiaire,G,Commerce ; rÇparation d'automobiles et de motocycles,46,"Commerce de gros, Ö l'exception des automobiles et des motocycles",2,"576105,849","617753,871691148",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124703,Bercy 3,65,,RUE BARON LE ROY,ENT,Tertiaire,G,Commerce ; rÇparation d'automobiles et de motocycles,46,"Commerce de gros, Ö l'exception des automobiles et des motocycles",1,"29757,35","31908,577574203",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197306,Villette 6,30,,RUE DE TANGER,ENT,Tertiaire,G,Commerce ; rÇparation d'automobiles et de motocycles,46,"Commerce de gros, Ö l'exception des automobiles et des motocycles",1,"18886,111","20251,4315931529",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124677,Bois de Vincennes 2,R,,ROUTE DE LA PYRAMIDE,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,1,"9631,562","10327,8498669319",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124604,Picpus 4,15,,RUE DES JARDINIERS,ENT,Tertiaire,G,Commerce ; rÇparation d'automobiles et de motocycles,46,"Commerce de gros, Ö l'exception des automobiles et des motocycles",1,"9620,869","10316,3838452599",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124577,Bois de Vincennes 1,R,,FORT NEUF DE VINCENNES,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,8,"9171,84121","9834,89479901796",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75114,PARIS 14E  ARRONDISSEMENT,751145401,Parc de Montsouris 1,19,,BOULEVARD JOURDAN,ENT,Tertiaire,I,HÇbergement et restauration,55,HÇbergement,15,"8075,18207","8658,95563638591",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197504,Amerique 4,23,,RUE DU DOCTEUR POTAIN,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,4,"7609,88716","8160,02348246035",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75116,PARIS 16E  ARRONDISSEMENT,751166410,Chaillot 10,1,,PLACE DU TROCADERO,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,1,"7571,652","8119,02421441658",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75113,PARIS 13E  ARRONDISSEMENT,751135032,Gare 32,20,,AVENUE DE LA PORTE DE VITRY,ENT,Tertiaire,H,Transports et entreposage,49,Transports terrestres et transport par conduites,1,"7488,369","8029,72049395383",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124501,Bel Air 1,9,,AVENUE DU GENERAL DODDS,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"7409,92305","7945,60350500969",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75118,PARIS 18E  ARRONDISSEMENT,751187110,Goutte d'Or 10,57,,RUE DE LA CHAPELLE,ENT,Tertiaire,G,Commerce ; rÇparation d'automobiles et de motocycles,46,"Commerce de gros, Ö l'exception des automobiles et des motocycles",1,"6963,73413","7467,15855723813",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176615,Plaine Monceau 15,2,,RUE PISSARRO,ENT,Tertiaire,G,Commerce ; rÇparation d'automobiles et de motocycles,46,"Commerce de gros, Ö l'exception des automobiles et des motocycles",1,"6876,612","7373,73816719887",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75106,PARIS 6E  ARRONDISSEMENT,751062402,Saint-Germain des Pres 2,45,,RUE DES SAINTS PERES,ENT,Tertiaire,P,Enseignement,85,Enseignement,1,"6510,604","6981,27060336073",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176504,Ternes 4,81,,BOULEVARD GOUVION SAINT CYR,ENT,Tertiaire,I,HÇbergement et restauration,55,HÇbergement,2,"6348,2529","6807,1827672931",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176515,Ternes 15,10,,RUE CLAUDE DEBUSSY,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"5800,24836","6219,56171314663",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207713,Belleville 13,2,,RUE FREDERICK LEMAITRE,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"5619,12975","6025,34962042611",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207815,Saint-Fargeau 15,16,,RUE DU TELEGRAPHE,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"5155,23468","5527,91850416793",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75111,PARIS 11E  ARRONDISSEMENT,751114410,Sainte-Marguerite 10,55,,BOULEVARD DE CHARONNE,ENT,Tertiaire,G,Commerce ; rÇparation d'automobiles et de motocycles,46,"Commerce de gros, Ö l'exception des automobiles et des motocycles",1,"5147,048","5519,13999015861",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75116,PARIS 16E  ARRONDISSEMENT,751166277,Bois de Boulogne 2,R,,CHEMIN DE LA CROIX CATELAN,ENT,Tertiaire,R,"Arts, spectacles et activitÇs rÇcrÇatives",93,"ActivitÇs sportives, rÇcrÇatives et de loisirs",1,"4956,7985","5315,13691430665",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176515,Ternes 15,19,,RUE ALEX CHARPENTIER,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"4827,25376","5176,22708578967",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75113,PARIS 13E  ARRONDISSEMENT,751135110,Maison Blanche 10,56,,BOULEVARD KELLERMANN,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,1,"4821,28753","5169,82954324033",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124677,Bois de Vincennes 2,11,,AVENUE DU TREMBLAY,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,1,"4722,352","5063,74173522483",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207801,Saint-Fargeau 1,160,,BOULEVARD MORTIER,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,1,"4667,66151","5005,09754336178",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75116,PARIS 16E  ARRONDISSEMENT,751166305,Porte Dauphine 5,40,,BOULEVARD LANNES,ENT,Tertiaire,U,ActivitÇs extra-territoriales,99,ActivitÇs des organisations et organismes extraterritoriaux,1,"4618,69138","4952,58724953777",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207804,Saint-Fargeau 4,3,,RUE STANISLAS MEUNIER,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"4524,182","4851,24556813066",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75106,PARIS 6E  ARRONDISSEMENT,751062201,Odeon 1,4,,AVENUE DE L OBSERVATOIRE,ENT,Tertiaire,P,Enseignement,85,Enseignement,1,"4397,50483","4715,41061287337",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207705,Belleville 5,66,,RUE DES COURONNES,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"4346,80763","4661,04839516935",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75114,PARIS 14E  ARRONDISSEMENT,751145505,Petit Montrouge 5,53,,RUE DES PLANTES,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"4247,1849","4554,22370787834",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207808,Saint-Fargeau 8,8,T,RUE SAINT-FARGEAU,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"4243,10001","4549,84351174371",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176515,Ternes 15,1,,PLACE JULES RENARD,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,1,"4136,40847","4435,43899384809",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176614,Plaine Monceau 14,1,,RUE GERVEX,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"4105,95318","4402,78202057897",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176616,Plaine Monceau 16,7,,RUE CURNONSKY,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"4084,19725","4379,45330414071",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75111,PARIS 11E  ARRONDISSEMENT,751114302,Roquette 2,157,,RUE DE CHARONNE,ENT,Tertiaire,N,ActivitÇs de services administratifs et de soutien,81,Services relatifs aux bÉtiments et amÇnagement paysager,1,"4022,02256","4312,78386217034",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207811,Saint-Fargeau 11,211,,AVENUE GAMBETTA,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"3971,72551","4258,8507222342",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751155713,Saint-Lambert 13,174,,RUE BLOMET,ENT,Tertiaire,Q,SantÇ humaine et action sociale,88,Action sociale sans hÇbergement,1,"3911,28225","4194,03787933832",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75113,PARIS 13E  ARRONDISSEMENT,751135101,Maison Blanche 1,129,,BOULEVARD MASSENA,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"3810,31538","4085,77188106161",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124703,Bercy 3,40,,AVENUE DES TERROIRS DE FRANCE,ENT,Tertiaire,P,Enseignement,85,Enseignement,1,"3804,72387","4079,77614788672",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207707,Belleville 7,15,,RUE DU PRESSOIR,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"3768,3084","4040,72811943674",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176714,Batignolles 14,164,,RUE DE SAUSSURE,ENT,Tertiaire,M,"ActivitÇs spÇcialisÇes, scientifiques et techniques",70,ActivitÇs des siäges sociaux ; conseil de gestion,2,"3743,11625","4013,71477071664",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124677,Bois de Vincennes 2,2,,ROUTE DE LA FERME,ENT,Tertiaire,R,"Arts, spectacles et activitÇs rÇcrÇatives",93,"ActivitÇs sportives, rÇcrÇatives et de loisirs",1,"3675,054","3940,73214343297",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197609,Combat 9,25,,RUE MANIN,ENT,Tertiaire,Q,SantÇ humaine et action sociale,86,ActivitÇs pour la santÇ humaine,1,"3665,04","3929,99420823954",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197614,Combat 14,76,,RUE DE MEAUX,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"3541,36698","3797,38057992567",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75113,PARIS 13E  ARRONDISSEMENT,751134903,Salpetriere 3,151,,BOULEVARD DE L HOPITAL,ENT,Tertiaire,P,Enseignement,85,Enseignement,1,"3490,61363","3742,95815300843",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197605,Combat 5,36,,RUE REBEVAL,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"3484,96858","3736,90500930325",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124577,Bois de Vincennes 1,53,,AVENUE DE SAINT MAURICE,ENT,Tertiaire,R,"Arts, spectacles et activitÇs rÇcrÇatives",91,"Bibliothäques, archives, musÇes et autres activitÇs culturelles",2,"3424,61023","3672,18321474742",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75118,PARIS 18E  ARRONDISSEMENT,751187206,Chapelle 6,24,,RUE RAYMOND QUENEAU,ENT,Tertiaire,M,"ActivitÇs spÇcialisÇes, scientifiques et techniques",70,ActivitÇs des siäges sociaux ; conseil de gestion,1,"3407,56816","3653,90913413809",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124609,Picpus 9,46,,RUE DE LA BRECHE AUX LOUPS,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"3364,52759","3607,75706190441",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751155701,Saint-Lambert 1,1,,AVENUE DE LA PORTE BRANCION,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"3288,42152","3526,14910829084",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207802,Saint-Fargeau 2,40,,RUE PELLEPORT,ENT,Tertiaire,H,Transports et entreposage,49,Transports terrestres et transport par conduites,1,"3184,17531","3414,3666989499",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75109,PARIS 9E  ARRONDISSEMENT,751093609,Rochechouart 9,12,,AVENUE TRUDAINE,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,2,"3127,89672","3354,01959966916",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176505,Ternes 5,8,,AVENUE DE LA PORTE DE CHAMPERRET,ENT,Tertiaire,S,Autres activitÇs de services,94,ActivitÇs des organisations associatives,1,"3126,74349","3352,78300000838",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197512,Amerique 12,2,,RUE DE L INSPECTEUR ALLES,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"3011,01239","3228,68543143799",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197601,Combat 1,35,,RUE FESSART,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,1,"2987,66919","3203,65469758467",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751208022,Charonne 22,26,,RUE DES BALKANS,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,1,"2983,30865","3198,97892407475",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75113,PARIS 13E  ARRONDISSEMENT,751135202,Croulebarbe 2,57,,RUE DE CROULEBARBE,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2938,25362","3150,66676187405",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207804,Saint-Fargeau 4,60,,BOULEVARD MORTIER,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2910,58401","3120,99685184735",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75111,PARIS 11E  ARRONDISSEMENT,751114319,Roquette 19,12,,RUE DURANTI,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,1,"2882,38812","3090,76261582369",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751208009,Charonne 9,2,,SQUARE DU PERIGORD,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2877,60297","3085,63153627598",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751208021,Charonne 21,6,,RUE LOUIS GANNE,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2837,49335","3042,62229918861",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751208003,Charonne 3,2,,RUE FELIX HUGUENET,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2836,89548","3041,98120778516",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176616,Plaine Monceau 16,15,,RUE CURNONSKY,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2835,50072","3040,48561736272",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207809,Saint-Fargeau 9,109,,BOULEVARD MORTIER,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2823,59107","3027,71499125164",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751156004,Javel 4,184,,RUE DE LA CROIX NIVERT,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2812,44637","3015,76461514317",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75113,PARIS 13E  ARRONDISSEMENT,751135001,Gare 1,16,,RUE FRANC NOHAIN,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2771,93635","2972,32603221484",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197602,Combat 2,8,,RUE PREAULT,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2749,76409","2948,55088831911",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751155719,Saint-Lambert 19,3,,RUE ROSENWALD,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2735,13643","2932,86576098623",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197616,Combat 16,97,,RUE DE CRIMEE,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2710,4325","2906,37592681778",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207905,Pere Lachaise 5,71,,RUE DES RONDEAUX,ENT,Tertiaire,S,Autres activitÇs de services,96,Autres services personnels,1,"2707,11977","2902,82371191331",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75114,PARIS 14E  ARRONDISSEMENT,751145625,Plaisance 25,94,,RUE DIDOT,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2695,01553","2889,84442844161",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751155701,Saint-Lambert 1,1,,RUE GASTON BOISSIER,ENT,Tertiaire,M,"ActivitÇs spÇcialisÇes, scientifiques et techniques",71,ActivitÇs d'architecture et d'ingÇnierie ; activitÇs de contrìle et analyses techniques,2,"2673,14421","2866,39198019369",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197401,Pont de Flandre 1,31,,BOULEVARD DE LA COMMANDERIE,ENT,Tertiaire,H,Transports et entreposage,49,Transports terrestres et transport par conduites,1,"2646,07668","2837,36767592106",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124677,Bois de Vincennes 2,3,,AVENUE DE L ECOLE DE JOINVILLE,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,1,"2629,00559","2819,06247738889",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75118,PARIS 18E  ARRONDISSEMENT,751187110,Goutte d'Or 10,124,,RUE DES POISSONNIERS,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2591,44091","2778,78215989321",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75111,PARIS 11E  ARRONDISSEMENT,751114102,Folie Mericourt 2,108,,RUE SAINT MAUR,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2537,99345","2721,47085954039",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75116,PARIS 16E  ARRONDISSEMENT,751166122,Auteuil 22,10,,RUE DU DOCTEUR BLANCHE,ENT,Tertiaire,P,Enseignement,85,Enseignement,1,"2518,65454","2700,73389506151",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124706,Bercy 6,1,,AVENUE DES TERROIRS DE FRANCE,ENT,Tertiaire,I,HÇbergement et restauration,55,HÇbergement,1,"2475,50019","2654,45981740878",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751155701,Saint-Lambert 1,4,,RUE THUREAU DANGIN,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2450,59261","2627,75161091138",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75116,PARIS 16E  ARRONDISSEMENT,751166177,Bois de Boulogne 1,R,,RUE HIPPODROME D AUTEUIL,ENT,Tertiaire,R,"Arts, spectacles et activitÇs rÇcrÇatives",93,"ActivitÇs sportives, rÇcrÇatives et de loisirs",1,"2402,999","2576,71734889808",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751207808,Saint-Fargeau 8,26,,RUE SAINT-FARGEAU,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2381,01955","2553,14895368267",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75111,PARIS 11E  ARRONDISSEMENT,751114301,Roquette 1,114,,AVENUE PHILIPPE AUGUSTE,ENT,Tertiaire,N,ActivitÇs de services administratifs et de soutien,81,Services relatifs aux bÉtiments et amÇnagement paysager,1,"2374,13857","2545,77053174266",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75116,PARIS 16E  ARRONDISSEMENT,751166112,Auteuil 12,14,,RUE BOILEAU,ENT,Tertiaire,Q,SantÇ humaine et action sociale,86,ActivitÇs pour la santÇ humaine,1,"2372,3747","2543,87914750563",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751155705,Saint-Lambert 5,77,,BOULEVARD LEFEBVRE,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2347,60117","2517,31468179239",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75118,PARIS 18E  ARRONDISSEMENT,751187204,Chapelle 4,34,,RUE DE TORCY,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2336,47777","2505,38714551013",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75110,PARIS 10E  ARRONDISSEMENT,751103805,Porte Saint-Denis 5,82,,RUE DU FAUBOURG POISSONNIERE,ENT,Tertiaire,O,Administration publique,84,Administration publique et dÇfense ; sÇcuritÇ sociale obligatoire,2,"2311,56204","2478,67019983039",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75113,PARIS 13E  ARRONDISSEMENT,751135114,Maison Blanche 14,54,,RUE VERGNIAUD,ENT,Tertiaire,L,ActivitÇs immobiliäres,68,ActivitÇs immobiliäres,1,"2301,77215","2468,17257606659",217500016,T1-Ville de Paris,EPT
